"","year","state_po","state_pvi"
"1",2001,"AK",-15.0497488751947
"2",2001,"AL",-7.71468909068107
"3",2001,"AR",-1.17415410262539
"4",2001,"AZ",-3.32962624746667
"5",2001,"CA",4.78552070074727
"6",2001,"CO",-4.55500955233512
"7",2001,"CT",7.5673564626192
"8",2001,"DC",36.8080347569582
"9",2001,"DE",5.55403454093781
"10",2001,"FL",-0.540749206982772
"11",2001,"GA",-5.80249053132375
"12",2001,"HI",8.78436407310041
"13",2001,"IA",0.157461831960237
"14",2001,"ID",-18.3918312754759
"15",2001,"IL",5.4425310695787
"16",2001,"IN",-7.81119731535306
"17",2001,"KS",-11.3269643081755
"18",2001,"KY",-6.80311816337898
"19",2001,"LA",-2.62015948083026
"20",2001,"MA",13.0454719711785
"21",2001,"MD",6.8619825059239
"22",2001,"ME",3.27572230998386
"23",2001,"MI",2.32637233187641
"24",2001,"MN",1.66937388685509
"25",2001,"MO",-1.71467992629881
"26",2001,"MS",-8.236237117225
"27",2001,"MT",-11.0130595694985
"28",2001,"NC",-6.64126711022802
"29",2001,"ND",-12.4525787055364
"30",2001,"NE",-14.4601635442214
"31",2001,"NH",-0.474663030906593
"32",2001,"NJ",6.92003497816537
"33",2001,"NM",-0.311186395841243
"34",2001,"NV",-2.45158693672081
"35",2001,"NY",11.470789943339
"36",2001,"OH",-1.78490775178475
"37",2001,"OK",-10.4312501753273
"38",2001,"OR",-0.0731121474648297
"39",2001,"PA",1.46523551121938
"40",2001,"RI",13.7651856978645
"41",2001,"SC",-7.96475088798549
"42",2001,"SD",-10.207422188032
"43",2001,"TN",-2.39805764650485
"44",2001,"TX",-9.85961172969787
"45",2001,"UT",-19.0663455965573
"46",2001,"VA",-4.50890043576586
"47",2001,"VT",5.25962489396624
"48",2001,"WA",2.4097259552508
"49",2001,"WI",0.124063543100077
"50",2001,"WV",-1.77743817122653
"51",2001,"WY",-18.2186677318148
"52",2005,"AK",-12.6125024367089
"53",2005,"AL",-10.6332643389176
"54",2005,"AR",-3.5022409169921
"55",2005,"AZ",-3.87554457683784
"56",2005,"CA",6.0427280868496
"57",2005,"CO",-1.9595581329097
"58",2005,"CT",6.90816476110621
"59",2005,"DC",40.3044578626408
"60",2005,"DE",5.31793699068721
"61",2005,"FL",-1.04102799773405
"62",2005,"GA",-6.85600026699586
"63",2005,"HI",6.40795856934208
"64",2005,"IA",0.625462486521893
"65",2005,"ID",-18.401299247779
"66",2005,"IL",6.21815517304783
"67",2005,"IN",-8.87251872308114
"68",2005,"KS",-11.2807412390826
"69",2005,"KY",-8.50195291620635
"70",2005,"LA",-5.56177507919336
"71",2005,"MA",13.5972497534861
"72",2005,"MD",7.74790965428949
"73",2005,"ME",4.85042003040009
"74",2005,"MI",2.7611910815362
"75",2005,"MN",2.44145926146428
"76",2005,"MO",-2.27822235982161
"77",2005,"MS",-8.34764995223195
"78",2005,"MT",-9.98545971919212
"79",2005,"NC",-5.42677980881548
"80",2005,"ND",-12.8738511313925
"81",2005,"NE",-15.2427205196881
"82",2005,"NH",1.1918341030245
"83",2005,"NJ",5.32351962915357
"84",2005,"NM",0.548238350052032
"85",2005,"NV",-0.57734744562108
"86",2005,"NY",10.7038388668119
"87",2005,"OH",-0.396007877742102
"88",2005,"OK",-13.5754196909307
"89",2005,"OR",2.4510321481825
"90",2005,"PA",2.29630841967874
"91",2005,"RI",12.2539835316925
"92",2005,"SC",-7.56240030925524
"93",2005,"SD",-10.054375586848
"94",2005,"TN",-4.99820670133947
"95",2005,"TX",-10.4001660369366
"96",2005,"UT",-21.3007924754493
"97",2005,"VA",-3.24452944222595
"98",2005,"VT",9.63074875727419
"99",2005,"WA",4.22777079093994
"100",2005,"WI",1.00739912806271
"101",2005,"WV",-4.77741073471146
"102",2005,"WY",-19.1717243233255
"103",2009,"AK",-13.6692382273358
"104",2009,"AL",-13.6932154548888
"105",2009,"AR",-11.0640078547078
"106",2009,"AZ",-6.90407400010089
"107",2009,"CA",7.86515001268024
"108",2009,"CO",0.373111386719934
"109",2009,"CT",7.28356627158086
"110",2009,"DC",39.8022199698881
"111",2009,"DE",7.92261566599298
"112",2009,"FL",-1.96905598631958
"113",2009,"GA",-6.43035342552538
"114",2009,"HI",15.5743851238081
"115",2009,"IA",1.09209454182553
"116",2009,"ID",-16.7005424128081
"117",2009,"IL",8.31951366453468
"118",2009,"IN",-4.59822212360167
"119",2009,"KS",-11.1827184698022
"120",2009,"KY",-10.969395365954
"121",2009,"LA",-11.1994473953889
"122",2009,"MA",10.3391222217519
"123",2009,"MD",8.76596564844468
"124",2009,"ME",5.22019439186871
"125",2009,"MI",4.20490913847082
"126",2009,"MN",1.87352948211342
"127",2009,"MO",-3.34950313261934
"128",2009,"MS",-9.69714565256338
"129",2009,"MT",-5.81188416215796
"130",2009,"NC",-3.83093097201205
"131",2009,"ND",-9.05640041059143
"132",2009,"NE",-12.152155394666
"133",2009,"NH",1.37295919918346
"134",2009,"NJ",4.27365090044668
"135",2009,"NM",3.17419889587709
"136",2009,"NV",1.96075392745623
"137",2009,"NY",9.83435826242281
"138",2009,"OH",-0.940783000078052
"139",2009,"OK",-18.0264112582091
"140",2009,"OR",4.24990249920799
"141",2009,"PA",1.78194619843316
"142",2009,"RI",10.621307938219
"143",2009,"SC",-7.90142070319337
"144",2009,"SD",-8.23776519687334
"145",2009,"TN",-9.83488088038886
"146",2009,"TX",-9.67115991570382
"147",2009,"UT",-18.6593348112351
"148",2009,"VA",-1.06364142705548
"149",2009,"VT",13.9944388282944
"150",2009,"WA",4.93882851675287
"151",2009,"WI",2.86152721434612
"152",2009,"WV",-8.92841936830243
"153",2009,"WY",-19.4411650389324
"154",2013,"AK",-10.3002375992384
"155",2013,"AL",-13.3796058034758
"156",2013,"AR",-13.7268852602465
"157",2013,"AZ",-6.82678695254861
"158",2013,"CA",9.31419017220304
"159",2013,"CO",0.768514933632
"160",2013,"CT",6.93588292578913
"161",2013,"DC",39.741127477742
"162",2013,"DE",7.74750614570577
"163",2013,"FL",-1.68141899689273
"164",2013,"GA",-5.94727330359897
"165",2013,"HI",19.189257807752
"166",2013,"IA",1.00815059867527
"167",2013,"ID",-17.5060567062812
"168",2013,"IL",7.10567178160582
"169",2013,"IN",-6.0578354959578
"170",2013,"KS",-12.3763170744212
"171",2013,"KY",-12.9007935816968
"172",2013,"LA",-11.1438929779909
"173",2013,"MA",9.47322472851442
"174",2013,"MD",10.5967750548316
"175",2013,"ME",5.44408067762977
"176",2013,"MI",3.25817577435029
"177",2013,"MN",1.8024584742342
"178",2013,"MO",-5.89677491468062
"179",2013,"MS",-8.32051201919429
"180",2013,"MT",-7.76552252560602
"181",2013,"NC",-3.08717734935342
"182",2013,"ND",-10.7980844089542
"183",2013,"NE",-12.395152609528
"184",2013,"NH",0.929141444905209
"185",2013,"NJ",6.22807169288634
"186",2013,"NM",3.33459338407382
"187",2013,"NV",1.70442028784318
"188",2013,"NY",11.4264636661443
"189",2013,"OH",-0.671423495382198
"190",2013,"OK",-18.8530100879358
"191",2013,"OR",4.21452387417443
"192",2013,"PA",0.950806317190215
"193",2013,"RI",11.4097562518838
"194",2013,"SC",-7.41204718834643
"195",2013,"SD",-10.1726323262204
"196",2013,"TN",-11.8971394248261
"197",2013,"TX",-9.75251206991542
"198",2013,"UT",-23.9000907340766
"199",2013,"VA",-0.122621139698886
"200",2013,"VT",15.6125249585032
"201",2013,"WA",5.36036473427804
"202",2013,"WI",1.93969643677484
"203",2013,"WV",-14.0362759392245
"204",2013,"WY",-21.5967897553674
"205",2017,"AK",-8.54760508088824
"206",2017,"AL",-14.4452786312971
"207",2017,"AR",-14.3313599857239
"208",2017,"AZ",-3.73769376338236
"209",2017,"CA",12.9058074774175
"210",2017,"CO",1.23523549335204
"211",2017,"CT",6.00725739570308
"212",2017,"DC",41.584415598755
"213",2017,"DE",5.33995941374799
"214",2017,"FL",-1.61487369070424
"215",2017,"GA",-4.17691382535912
"216",2017,"HI",15.8611321759683
"217",2017,"IA",-4.0773119592413
"218",2017,"ID",-17.176963197667
"219",2017,"IL",7.23252937082054
"220",2017,"IN",-9.73672634514297
"221",2017,"KS",-11.715422879514
"222",2017,"KY",-15.3005205524541
"223",2017,"LA",-10.7905584712921
"224",2017,"MA",11.6388466152913
"225",2017,"MD",11.8907221200386
"226",2017,"ME",1.68115627401088
"227",2017,"MI",-0.171476453036176
"228",2017,"MN",0.256703077380809
"229",2017,"MO",-9.43645107489982
"230",2017,"MS",-9.3969045813433
"231",2017,"MT",-10.6807896612994
"232",2017,"NC",-2.90097263862353
"233",2017,"ND",-17.1256295984347
"234",2017,"NE",-13.3902077513862
"235",2017,"NH",-0.440165659845686
"236",2017,"NJ",6.22836043531093
"237",2017,"NM",3.07360405219385
"238",2017,"NV",0.466539863835851
"239",2017,"NY",10.5607642532634
"240",2017,"OH",-3.95130205216265
"241",2017,"OK",-19.1147741364104
"242",2017,"OR",4.35286324141896
"243",2017,"PA",-0.872102156135404
"244",2017,"RI",7.97286806317298
"245",2017,"SC",-7.93385456707387
"246",2017,"SD",-14.7003922217773
"247",2017,"TN",-13.5775003016045
"248",2017,"TX",-6.62273774740822
"249",2017,"UT",-14.0599389077779
"250",2017,"VA",1.20555891978881
"251",2017,"VT",12.9109992789216
"252",2017,"WA",6.47334706164138
"253",2017,"WI",-0.706901720458442
"254",2017,"WV",-20.4271848305737
"255",2017,"WY",-23.5081512008161
"256",2021,"AK",-7.56427672318827
"257",2021,"AL",-14.9637631838329
"258",2021,"AR",-15.6728727179819
"259",2021,"AZ",-2.27743323449028
"260",2021,"CA",12.7498703589855
"261",2021,"CO",3.69080094107988
"262",2021,"CT",7.28252829999419
"263",2021,"DE",6.59186244174041
"264",2021,"FL",-3.35921653774639
"265",2021,"GA",-2.50307463043062
"266",2021,"HI",12.9406359601639
"267",2021,"IA",-6.18355527737841
"268",2021,"ID",-17.4603633224396
"269",2021,"IL",6.55352466255928
"270",2021,"IN",-10.3679544849548
"271",2021,"KS",-10.0201361199878
"272",2021,"KY",-15.4053276740827
"273",2021,"LA",-11.3834244240627
"274",2021,"MA",13.8510425810649
"275",2021,"MD",13.8059449229538
"276",2021,"ME",1.77394871485906
"277",2021,"MI",-0.934056308758634
"278",2021,"MN",0.906288944900194
"279",2021,"MO",-10.0512173913785
"280",2021,"MS",-10.3827867719079
"281",2021,"MT",-10.6547840910826
"282",2021,"NC",-2.91244883259597
"283",2021,"ND",-18.9250934383275
"284",2021,"NE",-12.2276489900986
"285",2021,"NH",0.852786626768413
"286",2021,"NJ",5.78946456075727
"287",2021,"NM",3.12387283196496
"288",2021,"NV",-0.751408467663689
"289",2021,"NY",9.43122494473013
"290",2021,"OH",-5.97818245994688
"291",2021,"OK",-18.9065596339141
"292",2021,"OR",5.45450433018524
"293",2021,"PA",-1.60370234166952
"294",2021,"RI",7.79075049425639
"295",2021,"SC",-8.11198001927225
"296",2021,"SD",-15.4857168534193
"297",2021,"TN",-13.9040350726681
"298",2021,"TX",-5.16690108342123
"299",2021,"UT",-11.891364916959
"300",2021,"VA",2.50821829388182
"301",2021,"VT",14.448441250093
"302",2021,"WA",7.21449625638356
"303",2021,"WI",-1.81038057120134
"304",2021,"WV",-21.8198423542671
"305",2021,"WY",-23.8381600436815
