State,Region,Abbreviation
Alabama,South,AL
Alaska,West,AK
Arizona,West,AZ
Arkansas,South,AR
California,West,CA
Colorado,West,CO
Connecticut,Northeast,CT
Delaware,Northeast,DE
Florida,South,FL
Georgia,South,GA
Hawaii,West,HI
Idaho,West,ID
Illinois,Midwest,IL
Indiana,Midwest,IN
Iowa,Midwest,IA
Kansas,Midwest,KS
Kentucky,South,KY
Louisiana,South,LA
Maine,Northeast,ME
Maryland,South,MD
Massachusetts,Northeast,MA
Michigan,Midwest,MI
Minnesota,Midwest,MN
Mississippi,South,MS
Missouri,Midwest,MO
Montana,West,MT
Nebraska,Midwest,NE
Nevada,West,NV
New Hampshire,Northeast,NH
New Jersey,Northeast,NJ
New Mexico,West,NM
New York,Northeast,NY
North Carolina,South,NC
North Dakota,Midwest,ND
Ohio,Midwest,OH
Oklahoma,South,OK
Oregon,West,OR
Pennsylvania,Northeast,PA
Rhode Island,Northeast,RI
South Carolina,South,SC
South Dakota,Midwest,SD
Tennessee,South,TN
Texas,South,TX
Utah,West,UT
Vermont,Northeast,VT
Virginia,South,VA
Washington,West,WA
West Virginia,South,WV
Wisconsin,Midwest,WI
Wyoming,West,WY